scan_number,RT,pepmass,intensity,summed_ms2_intensity,126.0917,147.113,175.119,pass_threshold
3,601.1638095,681.230590820313,6032.64697265625,39060.598754882994,no,no,no,no
5,601.5644263,593.159301757813,50631.83984375,138158.6068115237,no,no,no,no
6,601.8330602,391.285583496094,17076.890625,123530.82421875016,no,no,no,no
9,602.4233969,758.224182128906,10072.2470703125,54007.5781250002,no,no,no,no
15,604.3887119,749.100708007813,0.0,27786.221313476497,no,no,no,no
24,607.5609649,833.242309570313,0.0,68622.6059570316,no,no,no,no
34,611.0972005,439.844879150391,10173.4111328125,55262.1098632813,no,no,no,no
51,617.4326068,674.177307128906,0.0,23622.0916748048,no,no,no,no
55,618.6301792,1039.406372070313,0.0,55280.752807617304,no,no,no,no
76,626.5150095,871.1591796875,0.0,68680.80773925809,no,no,no,no
83,628.8761704,1062.105712890625,0.0,53050.68041992219,no,no,no,no
87,630.0528789,767.723693847656,0.0,32852.6291503908,no,no,no,no
103,635.9653104,744.19580078125,5516.646484375,38684.7369384766,no,no,no,no
105,636.3621508,888.738159179688,6629.279296875,59358.456665039106,no,no,no,no
107,636.7582738,607.211303710938,16341.9580078125,59786.1763916019,no,no,no,no
123,642.6773069,816.216369628906,14583.8427734375,45308.6563720705,no,no,no,no
127,643.8668691,577.1279296875,23098.64453125,124179.04199218798,no,no,no,no
128,644.1353977,759.225402832031,0.0,92978.38269043011,no,no,no,no
135,646.3045335,667.178039550781,19784.576171875,55158.672241211105,no,no,no,no
140,647.8688672,684.204528808594,22529.603515625,85484.5875244144,no,no,no,no
144,649.0444293,741.196960449219,17962.125,39884.270385742406,no,no,no,no
168,658.1041007,815.216003417969,0.0,43137.405517578205,no,no,no,no
174,660.0725334,895.250793457031,0.0,51167.09277343761,no,no,no,no
176,660.4597819,871.201171875,6921.57421875,38020.916748046904,no,no,no,no
179,661.2606115,1127.595703125,0.0,38685.7056884767,no,no,no,no
187,664.0316342,539.164794921875,20622.51953125,113725.01147460988,no,no,no,no
189,664.4186252,758.224609375,8707.306640625,37673.1744384768,no,no,no,no
209,671.9201008,890.235534667969,8058.59130859375,75217.17480468792,no,no,no,no
212,672.7105778,725.290344238281,0.0,47589.4111328129,no,no,no,no
216,673.8877758,903.293884277344,0.0,42641.284667968896,no,no,no,no
219,674.687862,613.18359375,6070.81982421875,64850.461669922304,no,no,no,no
228,677.8306258,533.192443847656,12526.7451171875,54987.5061035159,no,no,no,no
237,680.9797604,391.285339355469,15082.7802734375,85417.7235107422,no,no,no,no
278,696.7067019,1094.68701171875,0.0,53777.3930664063,no,no,no,no
280,697.094559,596.156616210938,20833.673828125,49429.1590576173,no,no,no,no
286,699.0837269,974.623107910156,0.0,52652.263549804906,no,no,no,no
289,699.8759422,670.175903320313,10267.6884765625,50528.342529297006,no,no,no,no
297,702.6460997,1156.491455078125,0.0,21167.349853515698,no,no,no,no
304,705.0177465,607.21142578125,15335.2646484375,46572.68139648471,no,no,no,no
308,706.2052107,396.088073730469,15336.2412109375,84259.47106933637,no,no,no,no
315,708.5644874,439.845092773438,12177.0126953125,58889.0286865237,no,no,no,no
317,708.9621086,817.214111328125,10070.294921875,45491.503173828205,no,no,no,no
319,709.3592104,888.731811523438,12075.634765625,39309.3848876956,no,no,no,no
325,711.3225198,757.725219726563,10883.6591796875,46310.12145996109,no,no,no,no
332,713.687309,610.186096191406,29602.21484375,79097.0322265626,no,no,no,no
333,713.9556879,667.178344726563,26541.423828125,104274.36950683617,no,no,no,no
336,714.5575187,497.457794189453,6508.72802734375,50598.3393554688,no,no,no,no
338,714.9537708,960.638488769531,6591.9013671875,39043.80163574229,no,no,no,no
355,721.257151,741.197509765625,13595.05078125,33868.0959472658,no,no,no,no
360,722.8202341,684.204895019531,25958.298828125,74943.21545410178,no,no,no,no
378,729.5310991,816.215026855469,24888.216796875,42521.8387451171,no,no,no,no
380,729.9282256,1071.624877929688,0.0,52747.27221679711,no,no,no,no
